연도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 ,평균전력량(월)
2024,마포구,주택용,"54,544,181","52,432,032","47,098,800","46,128,809","43,541,013",48748967
2024,마포구,일반용,"134,025,164","124,308,377","111,180,461","102,452,157","101,717,306",114736693
2024,마포구,교육용,"7,037,587","5,666,784","5,479,988","4,389,769","4,120,781",5338981.8
2024,마포구,산업용,"12,078,654","10,348,979","10,713,828","11,438,724","13,610,049",11638046.8
2024,마포구,농사용,"32,405","33,189","27,521","27,456","26,892",29492.6
2024,마포구,가로등,"1,208,320","1,129,509","1,024,767","952,720","828,923",1028847.8
2024,마포구,심 야,"1,676,981","1,530,922","2,053,512","1,752,151","1,947,218",1792156.8
2024,마포구,합 계,"210,603,292","195,449,792","177,578,877","167,141,786","165,792,182",183313185.8
2024,강서구,주택용,"73,564,465","71,915,140","64,685,522","64,331,637","60,127,896",66924932
2024,강서구,일반용,"148,123,832","137,556,845","122,021,070","113,154,310","111,923,314",126555874.2
2024,강서구,교육용,"6,666,715","5,496,429","4,759,441","4,119,962","2,856,545",4779818.4
2024,강서구,산업용,"30,240,488","28,784,795","29,132,700","28,407,896","28,357,378",28984651.4
2024,강서구,농사용,"453,827","444,606","459,319","476,087","506,296",468027
2024,강서구,가로등,"1,257,762","1,193,750","1,090,705","1,034,661","939,897",1103355
2024,강서구,심 야,"697,545","622,006","497,945","406,002","1,006,794",646058.4
2024,강서구,합 계,"261,004,634","246,013,571","222,646,702","211,930,555","205,718,120",229462716.4
2024,구로구,주택용,"54,930,846","53,386,367","48,305,695","47,455,830","44,547,065",49725160.6
2024,구로구,일반용,"87,234,875","79,100,629","67,475,742","60,953,342","60,008,963",70954710.2
2024,구로구,교육용,"4,568,291","3,827,657","3,562,230","2,709,500","2,004,196",3334374.8
2024,구로구,산업용,"30,462,105","29,065,156","25,097,993","24,076,819","23,204,677",26381350
2024,구로구,농사용,"56,016","55,977","45,092","42,918","41,243",48249.2
2024,구로구,가로등,"950,120","912,548","848,297","815,440","749,271",855135.2
2024,구로구,심 야,"457,654","476,775","382,497","374,958","603,776",459132
2024,구로구,합 계,"178,659,907","166,825,109","145,717,546","136,428,807","131,159,191",151758112
2024,영등포구,주택용,"57,773,280","55,560,375","50,360,884","49,322,753","46,519,500",51907358.4
2024,영등포구,일반용,"169,571,174","153,848,044","141,391,165","132,765,390","133,105,365",146136227.6
2024,영등포구,교육용,"3,514,189","2,851,795","2,408,610","2,249,792","1,450,555",2494988.2
2024,영등포구,산업용,"18,896,282","18,367,282","17,425,416","17,268,953","16,861,626",17763911.8
2024,영등포구,농사용,"2,431","2,543","2,254","2,335","2,014",2315.4
2024,영등포구,가로등,"1,383,972","1,319,584","1,207,493","1,153,403","1,049,887",1222867.8
2024,영등포구,심 야,"1,477,040","1,481,965","1,735,545","3,884,347","5,867,894",2889358.2
2024,영등포구,합 계,"252,618,368","233,431,588","214,531,367","206,646,973","204,856,841",222417027.4
2024,동작구,주택용,"47,996,990","47,028,894","41,969,127","42,153,973","39,370,478",43703892.4
2024,동작구,일반용,"54,147,547","50,415,209","44,063,302","41,213,133","40,313,919",46030622
2024,동작구,교육용,"9,882,344","8,180,693","7,579,717","5,982,639","5,294,755",7384029.6
2024,동작구,산업용,"4,561,573","4,406,694","4,452,999","4,673,273","4,607,590",4540425.8
2024,동작구,농사용,"29,709","17,719","13,975","28,107","21,647",22231.4
2024,동작구,가로등,"716,208","670,403","610,710","574,303","520,467",618418.2
2024,동작구,심 야,"684,077","638,354","513,677","303,266","232,954",474465.6
2024,동작구,합 계,"118,018,448","111,357,966","99,203,507","94,928,694","90,361,810",102774085
2024,관악구,주택용,"59,116,076","57,923,887","51,461,062","51,497,766","47,992,948",53598347.8
2024,관악구,일반용,"71,653,970","68,935,933","59,987,164","56,971,596","54,753,293",62460391.2
2024,관악구,교육용,"23,500,540","23,151,067","19,282,282","17,523,132","14,557,722",19602948.6
2024,관악구,산업용,"3,249,883","3,224,620","2,867,805","2,839,258","2,665,013",2969315.8
2024,관악구,농사용,"7,556","9,334","7,945","6,402","4,511",7149.6
2024,관악구,가로등,"1,037,992","993,027","923,748","895,354","825,027",935029.6
2024,관악구,심 야,"651,050","647,403","539,091","409,274","285,471",506457.8
2024,관악구,합 계,"159,217,067","154,885,271","135,069,097","130,142,782","121,083,985",140079640.4
2024,강남구,주택용,"89,443,330","84,712,267","78,691,435","76,291,561","73,708,921",80569502.8
2024,강남구,일반용,"333,909,769","309,521,094","269,822,974","242,521,980","233,319,347",277819032.8
2024,강남구,교육용,"6,439,888","5,345,543","5,033,210","4,123,498","2,910,412",4770510.2
2024,강남구,산업용,"31,709,028","29,147,969","25,913,260","21,741,179","19,513,371",25604961.4
2024,강남구,농사용,"130,063","134,700","114,612","98,714","84,425",112502.8
2024,강남구,가로등,"1,789,662","1,702,502","1,588,819","1,453,372","1,319,827",1570836.4
2024,강남구,심 야,"1,476,767","1,255,338","1,161,351","1,909,367","3,282,339",1817032.4
2024,강남구,합 계,"464,898,507","431,819,413","382,325,661","348,139,671","334,138,642",392264378.8
2024,강동구,주택용,"61,614,435","60,192,347","53,440,014","53,595,917","50,131,564",55794855.4
2024,강동구,일반용,"74,358,646","69,432,702","60,005,486","55,473,709","53,367,080",62527524.6
2024,강동구,교육용,"4,581,466","3,785,599","3,278,895","2,636,454","1,803,327",3217148.2
2024,강동구,산업용,"13,546,911","12,471,231","12,835,485","12,608,972","12,929,335",12878386.8
2024,강동구,농사용,"198,071","197,929","149,915","113,411","88,403",149545.8
2024,강동구,가로등,"928,587","865,890","778,865","723,815","647,588",788949
2024,강동구,심 야,"351,334","333,068","258,194","285,949","545,302",354769.4
2024,강동구,합 계,"155,579,450","147,278,766","130,746,854","125,438,227","119,512,599",135711179.2
2024,송파구,주택용,"87,243,491","85,272,711","76,415,894","76,176,752","71,031,955",79228160.6
2024,송파구,일반용,"149,171,201","145,493,653","123,195,161","117,108,523","117,121,359",130417979.4
2024,송파구,교육용,"8,196,844","7,297,612","6,141,462","5,600,493","3,793,288",6205939.8
2024,송파구,산업용,"18,009,046","17,088,100","16,967,456","16,789,585","16,814,964",17133830.2
2024,송파구,농사용,"266,421","251,242","195,784","194,903","191,708",220011.6
2024,송파구,가로등,"1,752,564","1,655,682","1,481,644","1,413,718","1,277,743",1516270.2
2024,송파구,심 야,"1,120,479","729,659","563,133","1,597,623","2,668,281",1335835
2024,송파구,합 계,"265,760,046","257,788,659","224,960,534","218,881,597","212,899,298",236058026.8
2024,중랑구,주택용,"49,151,821","47,810,711","43,043,390","42,359,945","39,474,577",44368088.8
2024,중랑구,일반용,"48,248,523","46,360,913","39,010,304","36,029,919","33,774,008",40684733.4
2024,중랑구,교육용,"4,207,295","3,433,104","2,952,058","2,400,138","1,554,698",2909458.6
2024,중랑구,산업용,"6,363,923","6,353,801","5,444,268","5,120,665","4,608,259",5578183.2
2024,중랑구,농사용,"35,503","41,571","42,207","28,337","24,048",34333.2
2024,중랑구,가로등,"1,038,358","968,480","918,847","854,652","799,170",915901.4
2024,중랑구,심 야,"367,137","358,123","288,408","225,600","179,365",283726.6
2024,중랑구,합 계,"109,412,560","105,326,703","91,699,482","87,019,256","80,414,125",94774425.2
2024,노원구,주택용,"61,255,172","59,445,123","53,440,275","52,778,500","48,690,685",55121951
2024,노원구,일반용,"60,414,588","57,295,613","49,212,852","45,788,467","43,707,393",51283782.6
2024,노원구,교육용,"14,893,727","12,609,829","11,076,824","9,533,839","7,299,778",11082799.4
2024,노원구,산업용,"5,784,005","6,532,718","5,436,932","5,677,872","5,339,747",5754254.8
2024,노원구,농사용,"43,322","45,045","39,869","39,264","30,060",39512
2024,노원구,가로등,"1,154,519","1,110,209","1,052,347","999,953","932,108",1049827.2
2024,노원구,심 야,"654,657","626,341","482,294","420,137","383,518",513389.4
2024,노원구,합 계,"144,199,990","137,664,878","120,741,393","115,238,032","106,383,289",124845516.4
2024,서초구,주택용,"63,734,625","61,170,669","55,835,062","55,131,289","52,532,066",57680742.2
2024,서초구,일반용,"199,230,537","189,403,324","164,636,121","151,866,669","145,495,734",170126477
2024,서초구,교육용,"6,583,611","5,432,018","4,986,254","4,158,785","3,086,054",4849344.4
2024,서초구,산업용,"37,219,183","35,484,902","32,611,673","32,133,410","31,153,333",33720500.2
2024,서초구,농사용,"769,252","747,640","637,066","521,672","384,347",611995.4
2024,서초구,가로등,"1,813,644","1,735,753","1,580,572","1,542,223","1,412,888",1617016
2024,서초구,심 야,"646,424","625,197","507,983","804,492","1,380,456",792910.4
2024,서초구,합 계,"309,997,276","294,599,503","260,794,731","246,158,540","235,444,878",269398985.6
2024,양천구,주택용,"57,162,622","56,105,943","50,576,133","50,251,205","46,752,793",52169739.2
2024,양천구,일반용,"86,828,662","84,770,118","77,540,217","75,241,330","72,892,871",79454639.6
2024,양천구,교육용,"4,676,970","4,014,367","3,156,544","3,285,048","1,973,178",3421221.4
2024,양천구,산업용,"3,491,073","4,629,157","2,957,120","2,875,117","2,890,348",3368563
2024,양천구,농사용,"18,456","17,845","15,771","15,265","12,349",15937.2
2024,양천구,가로등,"1,081,816","1,032,624","937,266","893,006","805,636",950069.6
2024,양천구,심 야,"320,977","327,284","270,143","241,942","287,676",289604.4
2024,양천구,합 계,"153,580,576","150,897,338","135,453,194","132,802,913","125,614,851",139669774.4
2024,광진구,주택용,"43,823,283","42,525,830","37,945,400","37,578,286","35,068,815",39388322.8
2024,광진구,일반용,"61,006,991","57,180,853","49,355,826","45,705,667","44,415,623",51532992
2024,광진구,교육용,"8,778,536","7,328,943","7,463,354","5,700,859","5,810,637",7016465.8
2024,광진구,산업용,"31,087,207","29,637,238","27,403,645","27,071,962","26,163,563",28272723
2024,광진구,농사용,"36,678","33,850","28,284","31,800","28,633",31849
2024,광진구,가로등,"808,247","747,655","717,442","668,270","628,978",714118.4
2024,광진구,심 야,"650,068","600,440","499,900","530,871","944,468",645149.4
2024,광진구,합 계,"146,191,010","138,054,809","123,413,851","117,287,715","113,060,717",127601620.4
2024,강북구,주택용,"36,417,290","35,710,837","31,710,482","31,538,649","29,009,108",32877273.2
2024,강북구,일반용,"41,406,959","39,344,376","32,993,349","30,171,935","28,505,728",34484469.4
2024,강북구,교육용,"3,527,098","3,142,633","2,542,193","2,252,816","1,598,788",2612705.6
2024,강북구,산업용,"4,500,614","4,411,984","4,032,032","4,017,012","3,741,512",4140630.8
2024,강북구,농사용,"7,547","8,100","6,534","6,189","5,186",6711.2
2024,강북구,가로등,"518,645","476,670","445,490","409,207","370,726",444147.6
2024,강북구,심 야,"583,104","560,929","458,759","340,361","180,404",424711.4
2024,강북구,합 계,"86,961,257","83,655,529","72,188,839","68,736,169","63,411,452",74990649.2
2024,금천구,주택용,"31,245,266","30,262,734","27,318,840","26,754,477","25,186,536",28153570.6
2024,금천구,일반용,"107,740,965","94,704,358","87,883,493","80,158,407","81,669,242",90431293
2024,금천구,교육용,"2,241,915","1,885,408","1,667,750","1,265,590","835,531",1579238.8
2024,금천구,산업용,"19,778,322","17,973,290","16,370,440","15,423,116","14,580,541",16825141.8
2024,금천구,농사용,"4,511","4,410","3,644","2,993","2,518",3615.2
2024,금천구,가로등,"691,468","612,039","592,706","574,429","535,102",601148.8
2024,금천구,심 야,"216,650","196,481","166,280","137,653","94,446",162302
2024,금천구,합 계,"161,919,097","145,638,720","134,003,153","124,316,665","122,903,916",137756310.2
